usage,timing_ms
17,2229.71
17,2239.92
17,2211.97
17,2197.94
17,2120.32
18,2120.17
17,2128.06
17,2197.38
18,2198.79
18,2198.62
18,2202.42
18,2206.47
18,2182.67
18,2168.16
18,2144.7
18,2144.04
18,2173.84
18,2137.49
18,2183.77
18,2188.38
18,2190.1
18,2191.89
18,2175.48
18,2186.41
18,2164.66
18,2167.1
19,2167.07
18,2220.79
19,2230.5
19,2220.26
19,2221.64
19,2211.67
19,2230.82
19,2222.37
19,2132.02
19,2131.56
19,2124.24
19,2106.1
19,2094.38
19,2163.67
19,2164.01
19,2165.77
19,2169.12
19,2197.06
19,2285.46
19,2286.38
20,2286.38
19,2109.7
20,2109.43
20,2191.22
20,2190.67
20,2193.65
20,2193.8
20,2195.74
20,2142.05
20,2146.37
20,2133.19
20,2132.47
20,2104.54
20,2172.69
20,2178.39
20,2170.27
20,2164.88
20,2171.16
21,2223.21
20,2227.05
20,2229.3
20,2135.44
21,2214.82
21,2200.53
21,2271.98
21,2208.19
21,2211.01
21,2225.61
21,2168.95
21,2167.62
21,2284.1
21,2258.72
21,2108.32
21,2150.46
21,2151.12
21,2152.41
21,2152.51
21,2159.56
21,2206.86
22,2207.59
21,2206.84
21,2073.85
22,2232.07
22,2232.9
22,2237.73
22,2256.61
22,2265.54
22,2264.53
22,2272.93
22,2280.89
22,2216.52
22,2216.2
22,2236.85
22,2184.0
22,2185.12
22,2185.65
22,2185.95
22,2185.82
23,2287.88
22,2287.77
22,2287.86
22,2079.98
23,2199.37
23,2200.77
23,2248.24
23,2281.39
23,2288.15
23,2288.13
23,2276.66
23,2286.05
23,2294.36
23,2297.06
23,2256.73
23,2294.16
23,2296.63
23,2295.6
23,2287.84
23,2296.74
23,2284.66
24,2287.64
23,2286.7
23,2074.71
24,2158.81
24,2212.3
24,2253.26
24,2275.26
24,2321.63
24,2312.26
24,2230.34
24,2231.34
24,2233.2
24,2233.79
24,2242.76
24,2352.07
24,2352.41
24,2352.9
24,2352.92
24,2350.11
25,2289.74
24,2293.48
24,2297.24
24,2126.8
25,2155.96
25,2129.73
25,2153.47
25,2197.12
25,2254.4
25,2239.47
25,2162.43
25,2176.01
25,2235.42
25,2235.28
25,2234.15
25,2196.14
25,2199.62
25,2206.05
25,2207.97
25,2213.16
25,2243.48
25,2243.2
26,2268.85
25,2206.62
26,2084.64
26,2088.67
26,2098.26
26,2119.62
26,2141.69
26,2144.55
26,2139.15
26,2123.66
26,2222.3
26,2187.79
26,2223.78
26,2211.88
26,2197.99
26,2215.66
26,2208.62
26,2232.84
26,2237.54
26,2252.23
27,2242.09
26,2223.75
27,2115.99
27,2091.52
27,2102.07
27,2083.57
27,2121.24
27,2120.06
27,2122.1
27,2147.36
27,2240.61
27,2241.83
27,2245.81
27,2275.2
27,2270.7
27,2264.37
27,2266.1
27,2280.07
27,2254.48
27,2244.62
28,2247.24
27,2231.8
28,2118.68
28,2102.93
28,2166.26
28,2088.99
28,2094.68
28,2119.38
28,2090.78
28,2129.2
28,2118.11
28,2118.82
28,2118.73
28,2169.21
28,2173.04
28,2246.83
28,2245.74
28,2251.05
28,2305.84
29,2306.44
28,2307.96
28,2299.68
29,2126.97
29,2237.84
29,2254.92
29,2170.16
29,2113.78
29,2111.15
29,2096.64
